"X","name","subtype","length","country","continent","subcluster"
929,"A.CD.2002.02DC_KS024.AJ877647","A",652,"CONGO; DEMOCRATIC REP.","AFRICA",53
893,"A.CD.2002.02DC_KS025.AJ877648","A",671,"CONGO; DEMOCRATIC REP.","AFRICA",53
912,"A.CD.2002.02DC_KS043.AJ877653","A",659,"CONGO; DEMOCRATIC REP.","AFRICA",53
832,"A.CD.2002.02DC_KTB145.AJ877703","A",689,"CONGO; DEMOCRATIC REP.","AFRICA",53
971,"A.CD.2002.CG-0147-02V.KY365190","A",628,"CONGO; DEMOCRATIC REP.","AFRICA",53
116,"A.CD.2002.KSFE142.OP156681","A",1818,"CONGO; DEMOCRATIC REP.","AFRICA",53
901,"A.CD.2003.CGARV33G.AM085040","A",664,"CONGO; DEMOCRATIC REP.","AFRICA",53
903,"A.CD.2003.CGAS09G.AM085050","A",666,"CONGO; DEMOCRATIC REP.","AFRICA",53
959,"A.CD.2003.CGCHU12G.AM085056","A",627,"CONGO; DEMOCRATIC REP.","AFRICA",53
943,"A.CD.2003.CGCHU15G.AM085058","A",645,"CONGO; DEMOCRATIC REP.","AFRICA",53
930,"A.CD.2003.CGCHU32G.AM085082","A",648,"CONGO; DEMOCRATIC REP.","AFRICA",53
910,"A.CD.2003.CGCHU37G.AM085060","A",660,"CONGO; DEMOCRATIC REP.","AFRICA",53
917,"A.CD.2003.CGCHU50G.AM085090","A",649,"CONGO; DEMOCRATIC REP.","AFRICA",53
946,"A.CD.2003.CGCP19G.AM085101","A",643,"CONGO; DEMOCRATIC REP.","AFRICA",53
824,"A.CD.2003.CGOS04G.AM085067","A",694,"CONGO; DEMOCRATIC REP.","AFRICA",53
895,"A.CD.2003.CGOS15G.AM085068","A",669,"CONGO; DEMOCRATIC REP.","AFRICA",53
194,"A.CD.2007.A_07CD4078.FR666683","A",1594,"CONGO; DEMOCRATIC REP.","AFRICA",53
209,"A.CD.2007.URF_A_A3_A_07CD2084.FR666645","A",1570,"CONGO; DEMOCRATIC REP.","AFRICA",53
196,"A.CD.2007.URF_A_CRF22_07CD4617.FR666634","A",1608,"CONGO; DEMOCRATIC REP.","AFRICA",54
195,"A.CD.2007.URF_CRF22_U_07CD2047.FR666635","A",1614,"CONGO; DEMOCRATIC REP.","AFRICA",53
172,"A.CD.2008.DRC144.MN178946","A",1749,"CONGO; DEMOCRATIC REP.","AFRICA",53
189,"A.CD.2008.DRC171.MN178949","A",1699,"CONGO; DEMOCRATIC REP.","AFRICA",53
185,"A.CD.2008.DRC179.MN178950","A",1723,"CONGO; DEMOCRATIC REP.","AFRICA",53
112,"A.CD.2008.DRC180.MN178951","A",1826,"CONGO; DEMOCRATIC REP.","AFRICA",53
176,"A.CD.2008.DRC330.MN178976","A",1715,"CONGO; DEMOCRATIC REP.","AFRICA",53
159,"A.CD.2008.DRC344.MN178981","A",1721,"CONGO; DEMOCRATIC REP.","AFRICA",53
138,"A.CD.2008.DRC344.OP156673","A",1783,"CONGO; DEMOCRATIC REP.","AFRICA",53
171,"A.CD.2008.DRC346.MN178983","A",1749,"CONGO; DEMOCRATIC REP.","AFRICA",53
120,"A.CD.2008.DRC346.OP156672","A",1812,"CONGO; DEMOCRATIC REP.","AFRICA",53
188,"A.CD.2008.DRC349.MN178986","A",1730,"CONGO; DEMOCRATIC REP.","AFRICA",53
123,"A.CD.2008.DRC349.OP156670","A",1798,"CONGO; DEMOCRATIC REP.","AFRICA",53
130,"A.CD.2008.DRC352.OP156668","A",1797,"CONGO; DEMOCRATIC REP.","AFRICA",53
158,"A.CD.2008.DRC355.MN178991","A",1731,"CONGO; DEMOCRATIC REP.","AFRICA",54
175,"A.CD.2008.DRC356.MN178992","A",1741,"CONGO; DEMOCRATIC REP.","AFRICA",53
169,"A.CD.2008.DRC359.MN178995","A",1745,"CONGO; DEMOCRATIC REP.","AFRICA",54
133,"A.CD.2008.DRC359.OP156700","A",1787,"CONGO; DEMOCRATIC REP.","AFRICA",54
168,"A.CD.2008.DRC364.MN178999","A",1755,"CONGO; DEMOCRATIC REP.","AFRICA",54
119,"A.CD.2008.DRC364.OP156678","A",1812,"CONGO; DEMOCRATIC REP.","AFRICA",53
153,"A.CD.2008.DRC368.MN179002","A",1729,"CONGO; DEMOCRATIC REP.","AFRICA",53
157,"A.CD.2008.DRC371.MN179005","A",1752,"CONGO; DEMOCRATIC REP.","AFRICA",53
121,"A.CD.2008.DRC371.OP156669","A",1796,"CONGO; DEMOCRATIC REP.","AFRICA",53
163,"A.CD.2008.DRC381.MN179015","A",1753,"CONGO; DEMOCRATIC REP.","AFRICA",53
144,"A.CD.2008.DRC384.MN179018","A",1764,"CONGO; DEMOCRATIC REP.","AFRICA",53
141,"A.CD.2008.DRC386.MN179020","A",1763,"CONGO; DEMOCRATIC REP.","AFRICA",53
127,"A.CD.2008.DRC386.OP156701","A",1779,"CONGO; DEMOCRATIC REP.","AFRICA",53
170,"A.CD.2008.DRC389.MN179023","A",1742,"CONGO; DEMOCRATIC REP.","AFRICA",53
118,"A.CD.2008.DRC389.OP156679","A",1803,"CONGO; DEMOCRATIC REP.","AFRICA",53
137,"A.CD.2008.DRC392.MN179026","A",1770,"CONGO; DEMOCRATIC REP.","AFRICA",54
115,"A.CD.2008.DRC393.OP156687","A",1796,"CONGO; DEMOCRATIC REP.","AFRICA",54
143,"A.CD.2008.DRC395.MN179029","A",1788,"CONGO; DEMOCRATIC REP.","AFRICA",53
166,"A.CD.2008.DRC397.MN179031","A",1751,"CONGO; DEMOCRATIC REP.","AFRICA",53
161,"A.CD.2008.DRC398.MN179032","A",1755,"CONGO; DEMOCRATIC REP.","AFRICA",53
117,"A.CD.2008.DRC398.OP156708","A",1808,"CONGO; DEMOCRATIC REP.","AFRICA",53
174,"A.CD.2008.DRC401.MN179033","A",1741,"CONGO; DEMOCRATIC REP.","AFRICA",53
142,"A.CD.2008.DRC402.MN179034","A",1791,"CONGO; DEMOCRATIC REP.","AFRICA",53
125,"A.CD.2008.DRC402.OP156665","A",1774,"CONGO; DEMOCRATIC REP.","AFRICA",53
165,"A.CD.2008.DRC405.MN179037","A",1725,"CONGO; DEMOCRATIC REP.","AFRICA",53
124,"A.CD.2008.DRC405.OP156666","A",1793,"CONGO; DEMOCRATIC REP.","AFRICA",53
146,"A.CD.2008.DRC406.MN179038","A",1772,"CONGO; DEMOCRATIC REP.","AFRICA",53
182,"A.CD.2008.DRC409.MN179041","A",1735,"CONGO; DEMOCRATIC REP.","AFRICA",53
114,"A.CD.2008.DRC409.OP156677","A",1817,"CONGO; DEMOCRATIC REP.","AFRICA",53
156,"A.CD.2008.DRC445.MN179049","A",1763,"CONGO; DEMOCRATIC REP.","AFRICA",53
167,"A.CD.2008.DRC453.MN179053","A",1760,"CONGO; DEMOCRATIC REP.","AFRICA",53
128,"A.CD.2008.DRC453.OP156680","A",1806,"CONGO; DEMOCRATIC REP.","AFRICA",53
155,"A.CD.2008.DRC461.MN179056","A",1741,"CONGO; DEMOCRATIC REP.","AFRICA",53
164,"A.CD.2008.DRC483.MN179065","A",1721,"CONGO; DEMOCRATIC REP.","AFRICA",53
134,"A.CD.2008.DRC506.OP156688","A",1799,"CONGO; DEMOCRATIC REP.","AFRICA",53
140,"A.CD.2008.DRC510.OP156683","A",1797,"CONGO; DEMOCRATIC REP.","AFRICA",53
187,"A.CD.2008.DRC579.MN179092","A",1734,"CONGO; DEMOCRATIC REP.","AFRICA",53
150,"A.CD.2008.DRC591.MN179100","A",1768,"CONGO; DEMOCRATIC REP.","AFRICA",53
173,"A.CD.2008.DRC599.MN179103","A",1743,"CONGO; DEMOCRATIC REP.","AFRICA",53
135,"A.CD.2008.DRC599.OP156674","A",1787,"CONGO; DEMOCRATIC REP.","AFRICA",53
154,"A.CD.2008.DRC636.MN179118","A",1732,"CONGO; DEMOCRATIC REP.","AFRICA",53
145,"A.CD.2008.DRC636.OP156676","A",1772,"CONGO; DEMOCRATIC REP.","AFRICA",53
191,"A.CD.2008.DRC646.MN179123","A",1714,"CONGO; DEMOCRATIC REP.","AFRICA",39
162,"A.CD.2008.DRC693.MN179138","A",1763,"CONGO; DEMOCRATIC REP.","AFRICA",16
129,"A.CD.2008.DRC693.OP156675","A",1798,"CONGO; DEMOCRATIC REP.","AFRICA",31
192,"A.CD.2008.DRC719.MN179153","A",1663,"CONGO; DEMOCRATIC REP.","AFRICA",31
132,"A.CD.2008.DRC719.OP156682","A",1782,"CONGO; DEMOCRATIC REP.","AFRICA",31
184,"A.CD.2008.DRC737.MN179162","A",1744,"CONGO; DEMOCRATIC REP.","AFRICA",31
152,"A.CD.2008.DRC775.MN179177","A",1757,"CONGO; DEMOCRATIC REP.","AFRICA",31
136,"A.CD.2008.DRC775.OP156671","A",1783,"CONGO; DEMOCRATIC REP.","AFRICA",31
160,"A.CD.2008.DRC801.MN179187","A",1761,"CONGO; DEMOCRATIC REP.","AFRICA",31
131,"A.CD.2008.DRC801.OP156706","A",1800,"CONGO; DEMOCRATIC REP.","AFRICA",31
151,"A.CD.2008.DRC823.MN179197","A",1766,"CONGO; DEMOCRATIC REP.","AFRICA",31
126,"A.CD.2008.DRC823.OP156707","A",1802,"CONGO; DEMOCRATIC REP.","AFRICA",31
148,"A.CD.2008.DRC854.MN179217","A",1776,"CONGO; DEMOCRATIC REP.","AFRICA",31
386,"A.CD.2008.DRC968.MN179257","A",1089,"CONGO; DEMOCRATIC REP.","AFRICA",31
147,"A.CD.2008.DRC980.MN179267","A",1770,"CONGO; DEMOCRATIC REP.","AFRICA",31
380,"A.CD.2011.HES17.KT315958","A",1133,"CONGO; DEMOCRATIC REP.","AFRICA",31
264,"A.CD.2012.1-A6.MK133145","A",1316,"CONGO; DEMOCRATIC REP.","AFRICA",31
274,"A.CD.2012.1-B8.MK133152","A",1307,"CONGO; DEMOCRATIC REP.","AFRICA",31
273,"A.CD.2012.1-D5.MK133160","A",1313,"CONGO; DEMOCRATIC REP.","AFRICA",31
275,"A.CD.2012.1-F2.MK133151","A",1307,"CONGO; DEMOCRATIC REP.","AFRICA",31
308,"A.CD.2012.1-H6.MK133161","A",1283,"CONGO; DEMOCRATIC REP.","AFRICA",31
270,"A.CD.2012.2-A4.MK133179","A",1313,"CONGO; DEMOCRATIC REP.","AFRICA",31
272,"A.CD.2012.2-A6.MK133166","A",1313,"CONGO; DEMOCRATIC REP.","AFRICA",31
269,"A.CD.2012.2-C1.MK133180","A",1313,"CONGO; DEMOCRATIC REP.","AFRICA",31
263,"A.CD.2012.2-C3.MK133170","A",1316,"CONGO; DEMOCRATIC REP.","AFRICA",31
296,"A.CD.2012.2-E3.MK133195","A",1301,"CONGO; DEMOCRATIC REP.","AFRICA",39
271,"A.CD.2012.2-E8.MK133169","A",1313,"CONGO; DEMOCRATIC REP.","AFRICA",31
262,"A.CD.2012.3-I3.MK133209","A",1316,"CONGO; DEMOCRATIC REP.","AFRICA",31
268,"A.CD.2012.3-I7.MK133206","A",1313,"CONGO; DEMOCRATIC REP.","AFRICA",31
267,"A.CD.2012.4-D5.MK133216","A",1313,"CONGO; DEMOCRATIC REP.","AFRICA",39
815,"A.CD.2016.2016.CUN1.MH920390","A",700,"CONGO; DEMOCRATIC REP.","AFRICA",39
266,"A.CD.2016.2016.CUN112.MH920434","A",1313,"CONGO; DEMOCRATIC REP.","AFRICA",39
312,"A.CD.2016.2016.CUN24.MN531003","A",1273,"CONGO; DEMOCRATIC REP.","AFRICA",39
907,"A.CD.2016.2016.CUN28.MN531006","A",662,"CONGO; DEMOCRATIC REP.","AFRICA",31
816,"A.CD.2016.2016.CUN35.MN531008","A",700,"CONGO; DEMOCRATIC REP.","AFRICA",39
298,"A.CD.2017.2017.CUN129.MN531018","A",1293,"CONGO; DEMOCRATIC REP.","AFRICA",39
813,"A.CD.2017.2017.CUN154.MN531027","A",702,"CONGO; DEMOCRATIC REP.","AFRICA",39
834,"A.CD.2017.2017.CUN214.MN531046","A",686,"CONGO; DEMOCRATIC REP.","AFRICA",39
836,"A.CD.2017.2017.CUN282.MN531048","A",683,"CONGO; DEMOCRATIC REP.","AFRICA",39
243,"A.CD.2017.2017.RDC_P47.MN530991","A",1319,"CONGO; DEMOCRATIC REP.","AFRICA",39
313,"A.CD.2017.2017.RDC_P53.MN530995","A",1278,"CONGO; DEMOCRATIC REP.","AFRICA",39
305,"A.CD.2018.2018.CUN291.MN998512","A",1275,"CONGO; DEMOCRATIC REP.","AFRICA",39
835,"A.CD.2018.2018.CUN340.MN998515","A",687,"CONGO; DEMOCRATIC REP.","AFRICA",39
304,"A.CD.2018.2018.CUN374.MN998513","A",1289,"CONGO; DEMOCRATIC REP.","AFRICA",39
821,"A.CD.2018.2018.CUN376.MN998517","A",696,"CONGO; DEMOCRATIC REP.","AFRICA",39
300,"A.CD.2018.2018.RDC_P103.MN531082","A",1293,"CONGO; DEMOCRATIC REP.","AFRICA",39
777,"A.CD.2018.2018.RDC_P90.MN531073","A",735,"CONGO; DEMOCRATIC REP.","AFRICA",39
967,"A.CF.-.B12.Y16612","A",633,"CENTRAL AFRICAN REPUBLIC","AFRICA",39
965,"A.CF.-.B16.Y16614","A",634,"CENTRAL AFRICAN REPUBLIC","AFRICA",39
963,"A.CF.-.B18.Y16615","A",634,"CENTRAL AFRICAN REPUBLIC","AFRICA",39
961,"A.CF.-.B20.Y16616","A",634,"CENTRAL AFRICAN REPUBLIC","AFRICA",39
964,"A.CF.-.B22.Y16617","A",634,"CENTRAL AFRICAN REPUBLIC","AFRICA",39
962,"A.CF.-.B24.Y16618","A",634,"CENTRAL AFRICAN REPUBLIC","AFRICA",39
830,"A.CG.2011.B1128.JX110230","A",680,"CONGO","AFRICA",39
785,"A.CG.2011.B1128A.JX110229","A",730,"CONGO","AFRICA",39
727,"A.CG.2020.DOL010.OK180693","A",780,"CONGO","AFRICA",39
798,"A.CG.2020.DOL030.OK180700","A",708,"CONGO","AFRICA",39
731,"A.CG.2020.DOL031.OK180701","A",771,"CONGO","AFRICA",39
730,"A.CG.2020.DOL043.OK180706","A",771,"CONGO","AFRICA",39
828,"A.CG.2020.DOL043.OK180809","A",692,"CONGO","AFRICA",39
931,"A.CG.2020.OU024.OK180722","A",650,"CONGO","AFRICA",39
757,"A.CG.2020.OU047.OK180727","A",747,"CONGO","AFRICA",39
728,"A.CG.2020.OU058.OK180731","A",774,"CONGO","AFRICA",39
764,"A.CG.2020.OU088.OK180743","A",741,"CONGO","AFRICA",39
723,"A.CG.2020.OW016.OK180750","A",773,"CONGO","AFRICA",39
845,"A.CG.2020.OW016.OK180802","A",679,"CONGO","AFRICA",39
722,"A.CG.2020.SB004.OK180756","A",789,"CONGO","AFRICA",39
829,"A.CG.2020.SB004.OK180804","A",692,"CONGO","AFRICA",39
720,"A.CG.2020.SB009.OK180758","A",793,"CONGO","AFRICA",39
719,"A.CG.2020.SB015.OK180760","A",793,"CONGO","AFRICA",39
4,"A.CH.2003.HIV_CH_BID-V3538_2003.JQ403028","A",8750,"SWITZERLAND","EUROPA",39
377,"A.CI.2015.CI-PDR-2-007.MH623254","A",1140,"COTE D'IVOIRE","AFRICA",31
401,"A.CI.2015.CI-PDR-2-020.MH623265","A",1059,"COTE D'IVOIRE","AFRICA",39
635,"A.CM.-.CA11DBS.DQ869232","A",932,"CAMEROON","AFRICA",39
634,"A.CM.-.CA11PL.DQ869233","A",931,"CAMEROON","AFRICA",39
218,"A.CM.-.LB005_1.KF576616","A",1498,"CAMEROON","AFRICA",39
227,"A.CM.-.LB011_1.KF576611","A",1475,"CAMEROON","AFRICA",39
219,"A.CM.-.LB013_1.KF576609","A",1485,"CAMEROON","AFRICA",39
220,"A.CM.-.LB039_1.KF576586","A",1497,"CAMEROON","AFRICA",39
483,"A.CM.-.LB054_1.KF576572","A",1018,"CAMEROON","AFRICA",39
577,"A.CM.-.LB058_1.KF576569","A",1007,"CAMEROON","AFRICA",39
399,"A.CM.-.LB064_1.KF576564","A",1057,"CAMEROON","AFRICA",39
403,"A.CM.-.LB065_1.KF576563","A",1032,"CAMEROON","AFRICA",39
396,"A.CM.-.LB066_1.KF576562","A",1073,"CAMEROON","AFRICA",39
538,"A.CM.-.LB086_1.KF576543","A",979,"CAMEROON","AFRICA",39
949,"A.CM.-.LB116_1.KF576330","A",641,"CAMEROON","AFRICA",39
913,"A.CM.1995.95CM_MP258.AJ286371","A",659,"CAMEROON","AFRICA",39
837,"A.CM.1997.97CM_MP802.AJ286404","A",685,"CAMEROON","AFRICA",39
915,"A.CM.1997.CMCS151.AF184407","A",658,"CAMEROON","AFRICA",39
918,"A.CM.1997.CMCS177.AF184383","A",657,"CAMEROON","AFRICA",39
975,"A.CM.1997.CMCS237.AF184385","A",630,"CAMEROON","AFRICA",39
906,"A.CM.1997.CMCS246.AF184357","A",666,"CAMEROON","AFRICA",39
794,"A.CM.1997.CMGP1308.AF184382","A",715,"CAMEROON","AFRICA",39
729,"A.CM.1997.CMGP1631.AF184356","A",769,"CAMEROON","AFRICA",39
759,"A.CM.1997.CMGP1750.AF184471","A",742,"CAMEROON","AFRICA",39
944,"A.CM.1997.CMGP1955.AF184360","A",645,"CAMEROON","AFRICA",39
739,"A.CM.1997.CMGP407.AF184363","A",764,"CAMEROON","AFRICA",39
732,"A.CM.1997.CMGP75.AF184465","A",768,"CAMEROON","AFRICA",39
33,"A.CM.1999.99CM_MP1411.AM279396","A",2865,"CAMEROON","AFRICA",39
922,"A.CM.1999.99CMLB25.AF355309","A",654,"CAMEROON","AFRICA",39
968,"A.CM.1999.99CMLB26.AF355291","A",633,"CAMEROON","AFRICA",39
923,"A.CM.1999.99CMLB4.AF355303","A",654,"CAMEROON","AFRICA",39
216,"A.CM.2001.01CMNYU5203.AY534744","A",1542,"CAMEROON","AFRICA",39
550,"A.CM.2003.1021-2.MG012163","A",1009,"CAMEROON","AFRICA",39
844,"A.CM.2003.124_33.EU618651","A",635,"CAMEROON","AFRICA",37
883,"A.CM.2003.127_44.EU618652","A",669,"CAMEROON","AFRICA",37
945,"A.CM.2003.145_01.EU618662","A",645,"CAMEROON","AFRICA",37
972,"A.CM.2003.4188-11.MG012113","A",631,"CAMEROON","AFRICA",37
644,"A.CM.2003.5246-27.MG012115","A",916,"CAMEROON","AFRICA",37
572,"A.CM.2003.5912-22.MG012116","A",999,"CAMEROON","AFRICA",39
947,"A.CM.2003.814_12.EU618876","A",642,"CAMEROON","AFRICA",31
555,"A.CM.2003.896-1.MG012157","A",1008,"CAMEROON","AFRICA",31
554,"A.CM.2003.915-22.MG012158","A",1006,"CAMEROON","AFRICA",39
684,"A.CM.2004.1137-21.MG012165","A",864,"CAMEROON","AFRICA",37
687,"A.CM.2004.14-14.MG012129","A",861,"CAMEROON","AFRICA",37
686,"A.CM.2004.18-30.MG012130","A",863,"CAMEROON","AFRICA",37
569,"A.CM.2004.239-40.MG012138","A",1006,"CAMEROON","AFRICA",16
659,"A.CM.2004.247-16.MG012139","A",898,"CAMEROON","AFRICA",39
970,"A.CM.2004.393_17.EU619259","A",632,"CAMEROON","AFRICA",37
882,"A.CM.2004.472_35.EU618774","A",675,"CAMEROON","AFRICA",37
563,"A.CM.2004.565-19.MG012147","A",1007,"CAMEROON","AFRICA",37
560,"A.CM.2004.600-12.MG012150","A",1006,"CAMEROON","AFRICA",37
881,"A.CM.2004.624_20.EU618838","A",676,"CAMEROON","AFRICA",37
685,"A.CM.2004.624-19.MG012151","A",859,"CAMEROON","AFRICA",14
633,"A.CM.2004.687-25.MG012106","A",941,"CAMEROON","AFRICA",37
559,"A.CM.2004.740-7.MG012153","A",1007,"CAMEROON","AFRICA",37
557,"A.CM.2004.837-34.MG012155","A",1009,"CAMEROON","AFRICA",37
556,"A.CM.2004.892-20.MG012156","A",1003,"CAMEROON","AFRICA",37
880,"A.CM.2004.969_10.EU618911","A",675,"CAMEROON","AFRICA",37
549,"A.CM.2005.1129-12.MG012164","A",1000,"CAMEROON","AFRICA",37
567,"A.CM.2005.273-14.MG012141","A",1003,"CAMEROON","AFRICA",37
565,"A.CM.2005.337-18.MG012143","A",1007,"CAMEROON","AFRICA",37
575,"A.CM.2005.780-8.MG012108","A",1006,"CAMEROON","AFRICA",37
552,"A.CM.2005.929-15.MG012161","A",1009,"CAMEROON","AFRICA",37
543,"A.CM.2006.164-11.MG012186","A",1008,"CAMEROON","AFRICA",37
568,"A.CM.2006.271-3.MG012140","A",1006,"CAMEROON","AFRICA",37
561,"A.CM.2006.573-03.MG012149","A",1009,"CAMEROON","AFRICA",37
540,"A.CM.2006.606-12.MG012204","A",1004,"CAMEROON","AFRICA",37
558,"A.CM.2006.826-8.MG012154","A",995,"CAMEROON","AFRICA",37
795,"A.CM.2006.ADB491-5.MG012117","A",715,"CAMEROON","AFRICA",37
183,"A.CM.2006.BS_002P.MW123928","A",1717,"CAMEROON","AFRICA",37
223,"A.CM.2006.BS02.JX244900","A",1494,"CAMEROON","AFRICA",37
280,"A.CM.2006.CAeoo_13.FJ688219","A",1288,"CAMEROON","AFRICA",37
279,"A.CM.2006.CAeoo_15.FJ688221","A",1286,"CAMEROON","AFRICA",37
278,"A.CM.2006.CAeoo_49.FJ688255","A",1284,"CAMEROON","AFRICA",37
277,"A.CM.2006.CAeoo_50.FJ688256","A",1285,"CAMEROON","AFRICA",37
213,"A.CM.2006.CYV085.GU191582","A",1572,"CAMEROON","AFRICA",37
683,"A.CM.2006.SK5010_PI.JQ250533","A",864,"CAMEROON","AFRICA",37
231,"A.CM.2007.1017.JF273947","A",1388,"CAMEROON","AFRICA",37
566,"A.CM.2007.280-26.MG012142","A",1009,"CAMEROON","AFRICA",37
541,"A.CM.2007.510-19.MG012201","A",1006,"CAMEROON","AFRICA",37
564,"A.CM.2007.548-35.MG012146","A",1009,"CAMEROON","AFRICA",37
562,"A.CM.2007.571-05.MG012148","A",1002,"CAMEROON","AFRICA",37
591,"A.CM.2007.659-29.MG012152","A",971,"CAMEROON","AFRICA",37
539,"A.CM.2007.723-09.MG012207","A",1009,"CAMEROON","AFRICA",37
641,"A.CM.2007.750-31.MG012107","A",921,"CAMEROON","AFRICA",37
606,"A.CM.2007.75-14.MG012133","A",964,"CAMEROON","AFRICA",37
576,"A.CM.2007.84.MG012099","A",1007,"CAMEROON","AFRICA",37
772,"A.CM.2007.872-30.MG012109","A",728,"CAMEROON","AFRICA",37
553,"A.CM.2007.918-15.MG012160","A",986,"CAMEROON","AFRICA",37
574,"A.CM.2007.932-06.MG012110","A",1008,"CAMEROON","AFRICA",37
551,"A.CM.2007.952-33.MG012162","A",992,"CAMEROON","AFRICA",37
548,"A.CM.2007.B3261-03.MG012170","A",1008,"CAMEROON","AFRICA",37
212,"A.CM.2007.CYN851.GU191584","A",1572,"CAMEROON","AFRICA",37
244,"A.CM.2007.HJ1948.JN639456","A",1306,"CAMEROON","AFRICA",37
682,"A.CM.2007.SK2032_PI.JQ250526","A",842,"CAMEROON","AFRICA",37
239,"A.CM.2007.SK5010_PI.HQ864371","A",1299,"CAMEROON","AFRICA",37
237,"A.CM.2007.SK6074_PI.HQ864332","A",1290,"CAMEROON","AFRICA",37
236,"A.CM.2007.SK8040_PI.HQ864343","A",1302,"CAMEROON","AFRICA",37
178,"A.CM.2008.HJ3121.JX983026","A",1746,"CAMEROON","AFRICA",37
181,"A.CM.2008.HJ3146.JX983027","A",1747,"CAMEROON","AFRICA",37
260,"A.CM.2008.KR229825.KR229825","A",1287,"CAMEROON","AFRICA",37
265,"A.CM.2008.KR229826.KR229826","A",1289,"CAMEROON","AFRICA",37
331,"A.CM.2009.CIRCB-10615.JQ796175","A",1199,"CAMEROON","AFRICA",37
335,"A.CM.2009.CIRCB-4899.JQ796151","A",1193,"CAMEROON","AFRICA",37
225,"A.CM.2009.CM-3-010.KC350336","A",1483,"CAMEROON","AFRICA",37
177,"A.CM.2009.HJ3169.JX983028","A",1745,"CAMEROON","AFRICA",37
186,"A.CM.2009.HJ3264.JX983030","A",1716,"CAMEROON","AFRICA",37
180,"A.CM.2009.HJ3392.JX983029","A",1743,"CAMEROON","AFRICA",37
179,"A.CM.2009.HJ3393.JX983031","A",1748,"CAMEROON","AFRICA",37
257,"A.CM.2009.MR007.KF192218","A",1280,"CAMEROON","AFRICA",37
256,"A.CM.2009.MR008.KF192219","A",1288,"CAMEROON","AFRICA",37
